127.0.0.1 - - [10/Sep/2018:13:49:45 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:49:51 +0900] "GET /spring/WEB-INF/views/home.jsp HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:49:57 +0900] "GET /spring/ HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:49:57 +0900] "GET /resources/img/200937431.jpg HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:50:55 +0900] "GET /spring/ HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:50:55 +0900] "GET /resources/img/200937431.jpg HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:50:56 +0900] "GET /spring/ HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:50:56 +0900] "GET /resources/img/200937431.jpg HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:52:19 +0900] "GET /iot/ HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:52:28 +0900] "GET /spring_ex/ HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:52:28 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:52:34 +0900] "GET /spring HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:52:34 +0900] "GET /spring/ HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:52:34 +0900] "GET /resources/img/200937431.jpg HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:52:53 +0900] "GET /spring/resources/img/200937431.jpg HTTP/1.1" 200 430608
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:53:51 +0900] "GET /spring/ HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:53:51 +0900] "GET /spring/resources/img/200937431.jpg HTTP/1.1" 200 430608
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:53:51 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:53:52 +0900] "GET /spring/ HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:53:52 +0900] "GET /spring/resources/img/200937431.jpg HTTP/1.1" 200 430608
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:53:52 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:53:53 +0900] "GET /spring/ HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:53:53 +0900] "GET /spring/resources/img/200937431.jpg HTTP/1.1" 200 430608
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:53:53 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:56:57 +0900] "GET /spring/ HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:56:57 +0900] "GET /spring/resources/img/200937431.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:56:58 +0900] "GET /spring/ HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:57:59 +0900] "GET /spring/ HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:57:59 +0900] "GET /spring/resources/img/200937431.jpg HTTP/1.1" 200 430608
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:58:00 +0900] "GET /spring/ HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [10/Sep/2018:13:58:00 +0900] "GET /spring/resources/img/200937431.jpg HTTP/1.1" 200 430608
